24.06.2010 00:22:00;r/s;1;req;119;b/s;33561;av;0;<1s;119;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;35;usr;162;qV;4;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0;m;7143560
24.06.2010 00:23:00;r/s;1;req;94;b/s;16904;av;0;<1s;91;1s;2;2s;0;3s;1;4s;0;5s;0;>5s;0;ip;36;usr;158;qV;2;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0;m;7145908
24.06.2010 00:24:00;r/s;0;req;42;b/s;16778;av;0;<1s;42;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;42;usr;160;qV;1;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.05;m;7147988
24.06.2010 00:25:00;r/s;1;req;97;b/s;17396;av;0;<1s;97;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;41;usr;160;qV;1;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.11;m;7150788
24.06.2010 00:26:00;r/s;0;req;10;b/s;5037;av;0;<1s;10;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;38;usr;155;qV;0;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.04;m;7150716
24.06.2010 00:27:00;r/s;0;req;17;b/s;10492;av;0;<1s;17;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;35;usr;154;qV;0;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.01;m;7156784
24.06.2010 00:28:00;r/s;0;req;15;b/s;8958;av;0;<1s;15;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;36;usr;152;qV;1;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0;m;7160460
24.06.2010 00:29:00;r/s;0;req;16;b/s;10527;av;0;<1s;16;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;37;usr;151;qV;0;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0;m;7163536
24.06.2010 00:30:00;r/s;1;req;72;b/s;24365;av;0;<1s;69;1s;2;2s;1;3s;0;4s;0;5s;0;>5s;0;ip;38;usr;158;qV;1;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0;m;7170020
24.06.2010 00:31:00;r/s;2;req;123;b/s;18819;av;0;<1s;120;1s;2;2s;1;3s;0;4s;0;5s;0;>5s;0;ip;40;usr;160;qV;4;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.13;m;7176520
24.06.2010 00:32:00;r/s;1;req;98;b/s;26658;av;0;<1s;98;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;43;usr;167;qV;1;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.05;m;7181432
24.06.2010 00:33:00;r/s;0;req;37;b/s;8032;av;0;<1s;37;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;43;usr;172;qV;0;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.02;m;7185392
24.06.2010 00:34:00;r/s;3;req;196;b/s;45814;av;0;<1s;195;1s;1;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;37;usr;171;qV;1;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.08;m;7183880
